year,stateTerritory,ibraRegion,forest2018Status,forest2013Status,capadStatus,speciesName,occurrenceCount
1960,New South Wales,South East Corner,forest,forest,not protected,Felis catus,3
1960,New South Wales,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1960,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1960,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1961,Northern Territory,Daly Basin,forest,non-forest,not protected,Felis catus,1
1961,Victoria,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,1
1961,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,2
1962,Queensland,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1962,Western Australia,Pilbara,non-forest,non-forest,not protected,Felis catus,1
1963,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,3
1963,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1963,New South Wales,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1963,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1963,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1964,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1965,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1965,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1965,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South East Corner,forest,forest,not protected,Felis catus,2
1966,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1966,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1966,New South Wales,Sydney Basin,non-forest,forest,not protected,Felis catus,1
1966,South Australia,Eyre Yorke Block,non-forest,non-forest,IPA,Felis catus,1
1966,Northern Territory,Central Ranges,non-forest,non-forest,IPA,Felis catus,1
1966,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,1
1967,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,1
1967,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1967,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1967,Northern Territory,MacDonnell Ranges,non-forest,non-forest,not protected,Felis catus,1
1967,Victoria,Murray Darling Depression,non-forest,non-forest,PA,Felis catus,1
1967,Western Australia,Nullarbor,non-forest,non-forest,not protected,Felis catus,1
1968,New South Wales,South East Corner,forest,non-forest,not protected,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,non-forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,non-forest,not protected,Felis catus,2
1968,New South Wales,South Eastern Queensland,non-forest,non-forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1968,Queensland,Brigalow Belt South,forest,forest,PA,Felis catus,1
1968,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1968,South Australia,Eyre Yorke Block,forest,non-forest,not protected,Felis catus,1
1968,South Australia,Eyre Yorke Block,non-forest,non-forest,PA,Felis catus,1
1968,South Australia,Flinders Lofty Block,forest,non-forest,PA,Felis catus,1
1968,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1968,Victoria,Riverina,non-forest,forest,PA,Felis catus,1
1968,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1968,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1968,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,2
1968,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
