Date,Series,Value
2017-01-01,Article Count,2
2017-01-01,Total Monitored Articles,427906
2017-01-02,Article Count,0
2017-01-02,Total Monitored Articles,592774
2017-01-03,Article Count,1
2017-01-03,Total Monitored Articles,757916
2017-01-04,Article Count,20
2017-01-04,Total Monitored Articles,822862
2017-01-05,Article Count,10
2017-01-05,Total Monitored Articles,830028
2017-01-06,Article Count,4
2017-01-06,Total Monitored Articles,766969
2017-01-07,Article Count,0
2017-01-07,Total Monitored Articles,520691
2017-01-08,Article Count,3
2017-01-08,Total Monitored Articles,488784
2017-01-09,Article Count,6
2017-01-09,Total Monitored Articles,813487
2017-01-10,Article Count,6
2017-01-10,Total Monitored Articles,884856
2017-01-11,Article Count,1
2017-01-11,Total Monitored Articles,879968
2017-01-12,Article Count,3
2017-01-12,Total Monitored Articles,873198
2017-01-13,Article Count,0
2017-01-13,Total Monitored Articles,847105
2017-01-14,Article Count,0
2017-01-14,Total Monitored Articles,538257
2017-01-15,Article Count,0
2017-01-15,Total Monitored Articles,485270
2017-01-16,Article Count,0
2017-01-16,Total Monitored Articles,778396
2017-01-17,Article Count,0
2017-01-17,Total Monitored Articles,872725
2017-01-18,Article Count,3
2017-01-18,Total Monitored Articles,903497
2017-01-19,Article Count,0
2017-01-19,Total Monitored Articles,897136
2017-01-20,Article Count,0
2017-01-20,Total Monitored Articles,840244
2017-01-21,Article Count,2
2017-01-21,Total Monitored Articles,542714
2017-01-22,Article Count,0
2017-01-22,Total Monitored Articles,507306
2017-01-23,Article Count,28
2017-01-23,Total Monitored Articles,816816
2017-01-24,Article Count,5
2017-01-24,Total Monitored Articles,882520
2017-01-25,Article Count,2
2017-01-25,Total Monitored Articles,888646
2017-01-26,Article Count,0
2017-01-26,Total Monitored Articles,850165
2017-01-27,Article Count,1
2017-01-27,Total Monitored Articles,814253
2017-01-28,Article Count,0
2017-01-28,Total Monitored Articles,540104
2017-01-29,Article Count,0
2017-01-29,Total Monitored Articles,492134
2017-01-30,Article Count,0
2017-01-30,Total Monitored Articles,800343
2017-01-31,Article Count,1
2017-01-31,Total Monitored Articles,866957
2017-02-01,Article Count,11
2017-02-01,Total Monitored Articles,877514
2017-02-02,Article Count,4
2017-02-02,Total Monitored Articles,878535
2017-02-03,Article Count,11
2017-02-03,Total Monitored Articles,849054
2017-02-04,Article Count,1
2017-02-04,Total Monitored Articles,547610
2017-02-05,Article Count,1
2017-02-05,Total Monitored Articles,489387
2017-02-06,Article Count,8
2017-02-06,Total Monitored Articles,810397
2017-02-07,Article Count,7
2017-02-07,Total Monitored Articles,886593
2017-02-08,Article Count,4
2017-02-08,Total Monitored Articles,908408
2017-02-09,Article Count,2
2017-02-09,Total Monitored Articles,895654
2017-02-10,Article Count,0
2017-02-10,Total Monitored Articles,851022
2017-02-11,Article Count,0
2017-02-11,Total Monitored Articles,535178
2017-02-12,Article Count,3
2017-02-12,Total Monitored Articles,501551
2017-02-13,Article Count,2
2017-02-13,Total Monitored Articles,828201
2017-02-14,Article Count,3
2017-02-14,Total Monitored Articles,888105
2017-02-15,Article Count,0
2017-02-15,Total Monitored Articles,902442
2017-02-16,Article Count,0
2017-02-16,Total Monitored Articles,899621
2017-02-17,Article Count,1
2017-02-17,Total Monitored Articles,845037
2017-02-18,Article Count,200
2017-02-18,Total Monitored Articles,546303
2017-02-19,Article Count,189
2017-02-19,Total Monitored Articles,492129
2017-02-20,Article Count,59
2017-02-20,Total Monitored Articles,770453
2017-02-21,Article Count,13
2017-02-21,Total Monitored Articles,863510
2017-02-22,Article Count,12
2017-02-22,Total Monitored Articles,896676
2017-02-23,Article Count,7
2017-02-23,Total Monitored Articles,882237
2017-02-24,Article Count,13
2017-02-24,Total Monitored Articles,831927
2017-02-25,Article Count,114
2017-02-25,Total Monitored Articles,537968
2017-02-26,Article Count,6
2017-02-26,Total Monitored Articles,490789
2017-02-27,Article Count,1
2017-02-27,Total Monitored Articles,801362
2017-02-28,Article Count,0
2017-02-28,Total Monitored Articles,845987
2017-03-01,Article Count,1
2017-03-01,Total Monitored Articles,891852
2017-03-02,Article Count,1
2017-03-02,Total Monitored Articles,884489
2017-03-03,Article Count,4
2017-03-03,Total Monitored Articles,826318
2017-03-04,Article Count,8
2017-03-04,Total Monitored Articles,534735
2017-03-05,Article Count,0
2017-03-05,Total Monitored Articles,482946
2017-03-06,Article Count,1
2017-03-06,Total Monitored Articles,814270
2017-03-07,Article Count,2
2017-03-07,Total Monitored Articles,877288
2017-03-08,Article Count,5
2017-03-08,Total Monitored Articles,875771
2017-03-09,Article Count,15
2017-03-09,Total Monitored Articles,884687
2017-03-10,Article Count,2
2017-03-10,Total Monitored Articles,841988
2017-03-11,Article Count,0
2017-03-11,Total Monitored Articles,532499
2017-03-12,Article Count,3
2017-03-12,Total Monitored Articles,478177
2017-03-13,Article Count,0
2017-03-13,Total Monitored Articles,774347
2017-03-14,Article Count,1
2017-03-14,Total Monitored Articles,846836
2017-03-15,Article Count,0
2017-03-15,Total Monitored Articles,856685
2017-03-16,Article Count,3
2017-03-16,Total Monitored Articles,892032
2017-03-17,Article Count,9
2017-03-17,Total Monitored Articles,824348
2017-03-18,Article Count,1
2017-03-18,Total Monitored Articles,504221
2017-03-19,Article Count,1
2017-03-19,Total Monitored Articles,447313
2017-03-20,Article Count,2
2017-03-20,Total Monitored Articles,722253
2017-03-21,Article Count,1
2017-03-21,Total Monitored Articles,817880
2017-03-22,Article Count,1
2017-03-22,Total Monitored Articles,810708
2017-03-23,Article Count,3
2017-03-23,Total Monitored Articles,773991
2017-03-24,Article Count,24
2017-03-24,Total Monitored Articles,763095
2017-03-25,Article Count,6
2017-03-25,Total Monitored Articles,488516
2017-03-26,Article Count,2
2017-03-26,Total Monitored Articles,451618
2017-03-27,Article Count,3
2017-03-27,Total Monitored Articles,715700
2017-03-28,Article Count,0
2017-03-28,Total Monitored Articles,813645
2017-03-29,Article Count,0
2017-03-29,Total Monitored Articles,862935
2017-03-30,Article Count,4
2017-03-30,Total Monitored Articles,849617
2017-03-31,Article Count,1
2017-03-31,Total Monitored Articles,802523
2017-04-01,Article Count,0
2017-04-01,Total Monitored Articles,492104
2017-04-02,Article Count,0
2017-04-02,Total Monitored Articles,451222
2017-04-03,Article Count,0
2017-04-03,Total Monitored Articles,752077
2017-04-04,Article Count,0
2017-04-04,Total Monitored Articles,803101
2017-04-05,Article Count,6
2017-04-05,Total Monitored Articles,828653
2017-04-06,Article Count,2
2017-04-06,Total Monitored Articles,806340
2017-04-07,Article Count,1
2017-04-07,Total Monitored Articles,812309
2017-04-08,Article Count,1
2017-04-08,Total Monitored Articles,498778
2017-04-09,Article Count,0
2017-04-09,Total Monitored Articles,465133
2017-04-10,Article Count,0
2017-04-10,Total Monitored Articles,760184
2017-04-11,Article Count,1
2017-04-11,Total Monitored Articles,823150
2017-04-12,Article Count,2
2017-04-12,Total Monitored Articles,818751
2017-04-13,Article Count,4
2017-04-13,Total Monitored Articles,804729
2017-04-14,Article Count,12
2017-04-14,Total Monitored Articles,604707
2017-04-15,Article Count,5
2017-04-15,Total Monitored Articles,466894
2017-04-16,Article Count,1
2017-04-16,Total Monitored Articles,433510
2017-04-17,Article Count,3
2017-04-17,Total Monitored Articles,638778
2017-04-18,Article Count,1
2017-04-18,Total Monitored Articles,784482
2017-04-19,Article Count,1
2017-04-19,Total Monitored Articles,747158
2017-04-20,Article Count,6
2017-04-20,Total Monitored Articles,796608
2017-04-21,Article Count,0
2017-04-21,Total Monitored Articles,772343
2017-04-22,Article Count,0
2017-04-22,Total Monitored Articles,457279
2017-04-23,Article Count,0
2017-04-23,Total Monitored Articles,433977
2017-04-24,Article Count,3
2017-04-24,Total Monitored Articles,712864
2017-04-25,Article Count,86
2017-04-25,Total Monitored Articles,802345
2017-04-26,Article Count,60
2017-04-26,Total Monitored Articles,796260
