Publication_year,Species,Common_name,Official_country,State|Province|Administrative_area,Location,Cost_estimate_per_year_2017_USD_exchange_rate,Applicable_year,Impacted_sector,Type_of_cost,Details
2002,Felis catus,Feral Cat,Australia,Unspecified,Diverse/Unspecified,825276.359413926,2000,Authorities-Stakeholders,Control,"Governments are estimated to spend at least $1 million on feral cat control annually. Annual cat control research costs are also around $1 million per year.
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources."
2013,Felis catus,Feral Cat,Australia,Unspecified,"Dirk Hartog Island
Area (62 790 Ha)",12100405.6541173,2013,Authorities-Stakeholders,Eradication,"Cost of eradication if no internal fence is built. 
Cat eradication on Dirk Hartog Island, ""Our linear model estimates treatment costs at USD 11.5 M, with 95% confidence intervals of USD $3.7M and USD $24.2 M.""
No period specified"
2013,Felis catus,Feral Cat,Australia,Unspecified,"Dirk Hartog Island
Area (62 790 Ha)",29461.8572448073,2013,Authorities-Stakeholders,Control,"Add +20 000 $ for material at each boundary of the fence ""The cost for fence materials and construction is estimated at USD $28 000 per km. The two ends of any such fence – where it meets the ocean – are particularly vulnerable to incursions (Long&Rob- ley 2004). We therefore add an additional USD $10 000 at each boundary of each fence to account for the construction costs of additional structures.""
--> value of cost ""USD 28 000/ km"" => Not found in Long&Robley 2004 (other values)"
2004,Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,Unspecified,Wardang Island/Currawinya National Park/Royal Botanic Gardens Cranbourne/Heirisson Prong/Watarrka National Park/Yaraandoo Environmental Centre/N.S.W Roads and Traffic Authority,9543.86978730676,2004,Authorities-Stakeholders,Control,"Cost of the fence material. 
Fox + Feral cat + feral rabbit fences : $10,300/km or $9,700/km without the electric wires.
"
2004,Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,Unspecified,Little Desert Lodge and Malleefowl Sanctuary/Scotia Sanctuary/Venus Bay Conservation Park/Peron Peninsula/Paruna Sanctuary/Ellenbrook Nature Reserve/Twin Swamps Nature Reserve,8971.23760006836,2004,Authorities-Stakeholders,Control,"Cost of the fence material. 
Fox + Feral cat + feral rabbit fences : $10,300/km or $9,700/km without the electric wires.
"
2004,Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,Unspecified,Calga Springs Sanctuary/Tidbinbilla Nature Reserve/Woodlands Historic Park and Hamilton Community Parklands/Cleland Wildlife Park,10116.5019745452,2004,Authorities-Stakeholders,Control,"Cost of the fence material. 
Fox + Feral cat + feral rabbit fences : $10,300/km or $9,700/km without the electric wires.
"
2004,Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,Unspecified,Yookamurra Sanctuary/Living Desert Wildlife Park/Karakamia,7635.09582984541,2004,Authorities-Stakeholders,Control,"Cost of the fence material. 
Fox + Feral cat + feral rabbit fences : $10,300/km or $9,700/km without the electric wires.
"
2013,Felis catus,Feral Cat,Australia,Unspecified,"Dirk Hartog Island
Area (62 790 Ha)",16572294.7002041,2013,Authorities-Stakeholders,Eradication,"Eradication program of cats
Various eradiction costs according to the number of internal fences from 15.4 to 15.9 M, median = 15,75. Confidence intervals are provided in table 1.
"
2013,Felis catus,Feral Cat,Australia,Unspecified,Faure Island,35459.4496125003,2013,Authorities-Stakeholders,Eradication,"Eradication of cats in Faure Island years before (5800 Ha)
Value ""corrected from inflation"", but no source given"
2011,Felis catus,Feral Cat,Australia,Unspecified,Macquarie Island,111794.275400227,2009,Authorities-Stakeholders,Eradication,"[Robinson, 2008, Personal communication] Cost of successful insular cat eradication campaigns. Costs converted by Campbell et al 2011."
2010,Felis catus,Feral Cat,Australia,Unspecified,Faure Island,29227.0048986001,2010,Authorities-Stakeholders,Eradication,NOT FOUND IN ORIGINAL PAPER
