year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
1990,New South Wales,4073.0,206.0,8649.0,18393.0,17123,976.0,69.0,48.0,21.0,52.0,17.0
1990,Northern Territory,0.0,0.0,2.0,15.0,4,15.0,43.0,11.0,32.0,14.0,29.0
1990,Queensland,3856.0,157.0,8095.0,17240.0,17443,1023.0,17.0,9.0,8.0,7.0,10.0
1990,South Australia,2803.0,145.0,5276.0,11211.0,10952,941.0,26.0,9.0,17.0,12.0,14.0
1990,Tasmania,641.0,34.0,1141.0,2813.0,2589,86.0,,,,,
1990,Victoria,1166.0,67.0,2364.0,5534.0,5331,767.0,59.0,26.0,33.0,29.0,30.0
1990,Western Australia,3392.0,209.0,8244.0,18446.0,17454,1107.0,,,,,
1991,New South Wales,3123.0,179.0,7665.0,16782.0,15116,769.0,135.0,95.0,40.0,95.0,40.0
1991,Northern Territory,0.0,0.0,1.0,4.0,3,0.0,72.0,14.0,58.0,22.0,50.0
1991,Queensland,3908.0,188.0,7840.0,20632.0,18821,1450.0,35.0,23.0,12.0,24.0,11.0
1991,South Australia,2383.0,133.0,5320.0,12086.0,10992,548.0,19.0,1.0,18.0,2.0,17.0
1991,Tasmania,529.0,29.0,1062.0,2818.0,2435,137.0,,,,,
1991,Victoria,1002.0,54.0,2276.0,5548.0,4789,636.0,87.0,70.0,17.0,69.0,18.0
1991,Western Australia,3085.0,188.0,7470.0,18832.0,16816,985.0,,,,,
1992,New South Wales,2304.0,180.0,7350.0,15009.0,13759,914.0,90.0,70.0,20.0,72.0,18.0
1992,Northern Territory,0.0,0.0,2.0,5.0,5,0.0,32.0,1.0,31.0,1.0,31.0
1992,Queensland,1763.0,142.0,8254.0,17473.0,16633,1091.0,90.0,50.0,40.0,48.0,42.0
1992,South Australia,2212.0,111.0,4775.0,10395.0,9644,1043.0,25.0,3.0,22.0,3.0,22.0
1992,Tasmania,402.0,29.0,1146.0,2652.0,2346,63.0,,,,,
1992,Victoria,925.0,64.0,2222.0,5089.0,4609,640.0,69.0,40.0,29.0,41.0,28.0
1992,Western Australia,2468.0,170.0,7226.0,15509.0,15487,1575.0,1.0,0.0,1.0,0.0,1.0
1993,New South Wales,2701.0,170.0,6865.0,14453.0,12908,1042.0,66.0,50.0,16.0,50.0,16.0
1993,Northern Territory,0.0,0.0,2.0,5.0,5,0.0,15.0,2.0,13.0,2.0,13.0
1993,Queensland,2058.0,179.0,7142.0,16291.0,15241,734.0,92.0,53.0,39.0,45.0,47.0
1993,South Australia,2447.0,107.0,4378.0,10194.0,9644,835.0,8.0,0.0,8.0,0.0,8.0
1993,Tasmania,512.0,28.0,1173.0,2545.0,2367,103.0,1.0,1.0,0.0,1.0,0.0
1993,Victoria,1156.0,60.0,2528.0,5833.0,5312,723.0,38.0,24.0,14.0,25.0,13.0
1993,Western Australia,3457.0,236.0,7710.0,18454.0,17051,929.0,,,,,
1994,New South Wales,3424.0,158.0,6831.0,13941.0,13159,905.0,89.0,50.0,39.0,58.0,31.0
1994,Northern Territory,0.0,0.0,0.0,8.0,0,0.0,42.0,3.0,39.0,4.0,38.0
1994,Queensland,1743.0,141.0,6052.0,14282.0,12988,715.0,64.0,35.0,29.0,32.0,32.0
