year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2002,All Australia,10658.0,662.0,26531.0,51883.0,47861.0,3300.0,197.0,77.0,120.0,94.0,103.0,825276.359413926,825276.359413926,0.0,0.0,825276.359413926,0.0,0.0,825276.359413926,0.0,0.0,0.0,0.0,0.0,0.0
2002,New South Wales,2624.0,131.0,5996.0,11360.0,10544.0,770.0,104.0,46.0,58.0,55.0,49.0,,,,,,,,,,,,,,
2002,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,32.0,5.0,29.0,,,,,,,,,,,,,,
2002,Queensland,1421.0,103.0,5020.0,11123.0,9707.0,584.0,24.0,17.0,7.0,21.0,3.0,,,,,,,,,,,,,,
2002,South Australia,2148.0,137.0,5372.0,8857.0,8938.0,692.0,18.0,4.0,14.0,6.0,12.0,,,,,,,,,,,,,,
2002,Tasmania,548.0,28.0,1033.0,2431.0,2431.0,139.0,,,,,,,,,,,,,,,,,,,
2002,Unspecified,,,,,,,,,,,,825276.359413926,825276.359413926,0.0,0.0,825276.359413926,0.0,0.0,825276.359413926,0.0,0.0,0.0,0.0,0.0,0.0
2002,Victoria,1602.0,86.0,2691.0,5518.0,5072.0,687.0,17.0,8.0,9.0,7.0,10.0,,,,,,,,,,,,,,
2002,Western Australia,2315.0,177.0,6419.0,12594.0,11169.0,428.0,,,,,,,,,,,,,,,,,,,
2003,All Australia,0.0,0.0,0.0,47564.0,43496.0,3096.0,291.0,121.0,170.0,130.0,161.0,,,,,,,,,,,,,,
2003,New South Wales,,,,10498.0,8903.0,764.0,143.0,68.0,75.0,74.0,69.0,,,,,,,,,,,,,,
2003,Northern Territory,,,,0.0,0.0,0.0,8.0,4.0,4.0,6.0,2.0,,,,,,,,,,,,,,
2003,Queensland,,,,12477.0,10214.0,313.0,23.0,18.0,5.0,19.0,4.0,,,,,,,,,,,,,,
2003,South Australia,,,,8674.0,8227.0,535.0,27.0,5.0,22.0,7.0,20.0,,,,,,,,,,,,,,
2003,Tasmania,,,,2333.0,2002.0,66.0,20.0,0.0,20.0,0.0,20.0,,,,,,,,,,,,,,
2003,Victoria,,,,4527.0,4207.0,463.0,70.0,26.0,44.0,24.0,46.0,,,,,,,,,,,,,,
2003,Western Australia,,,,9055.0,9943.0,955.0,,,,,,,,,,,,,,,,,,,
2004,All Australia,0.0,0.0,0.0,48517.0,46914.0,3173.0,266.0,116.0,150.0,128.0,138.0,1180695.9910621876,715790.234048007,464905.7570141807,0.0,1180695.9910621876,0.0,0.0,1180695.9910621876,0.0,0.0,0.0,0.0,0.0,0.0
2004,New South Wales,,,,9242.0,9596.0,609.0,141.0,81.0,60.0,80.0,61.0,,,,,,,,,,,,,,
2004,Northern Territory,,,,0.0,0.0,0.0,11.0,0.0,11.0,2.0,9.0,,,,,,,,,,,,,,
2004,Queensland,,,,12745.0,11871.0,551.0,16.0,10.0,6.0,9.0,7.0,,,,,,,,,,,,,,
2004,South Australia,,,,8976.0,8462.0,479.0,48.0,8.0,40.0,14.0,34.0,,,,,,,,,,,,,,
2004,Tasmania,,,,2112.0,1879.0,66.0,,,,,,,,,,,,,,,,,,,
2004,Unspecified,,,,,,,,,,,,1180695.9910621876,715790.234048007,464905.7570141807,0.0,1180695.9910621876,0.0,0.0,1180695.9910621876,0.0,0.0,0.0,0.0,0.0,0.0
2004,Victoria,,,,4232.0,4158.0,579.0,48.0,17.0,31.0,23.0,25.0,,,,,,,,,,,,,,
2004,Western Australia,,,,11210.0,10948.0,889.0,2.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,
2005,All Australia,10602.0,663.0,26518.0,47805.0,45093.0,2909.0,321.0,137.0,184.0,149.0,172.0,,,,,,,,,,,,,,
2005,New South Wales,2403.0,114.0,6102.0,10916.0,10041.0,717.0,99.0,55.0,44.0,56.0,43.0,,,,,,,,,,,,,,
2005,Northern Territory,0.0,0.0,0.0,0.0,24.0,0.0,16.0,3.0,13.0,3.0,13.0,,,,,,,,,,,,,,
2005,Queensland,1470.0,73.0,4197.0,8015.0,7399.0,548.0,6.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,
