year,article_count,tone_weighted,all_articles,volume_intensity_mean,volume_intensity
2017,2014.0,-1.8373834657398211,227816569.0,0.0008931129476584022,8.840445665740845e-06
2018,1054.0,-1.6242910815939278,193012221.0,0.0005441095890410959,5.460794112099254e-06
2019,383.0,-2.575505221932115,170537968.0,0.00023205479452054794,2.245834194529631e-06
2020,559.0,-2.4367842576028615,137760786.0,0.0003786301369863014,4.057758497399978e-06
2021,210.0,-1.72447,120343036.0,0.00017123287671232874,1.745011651525893e-06
2022,69.0,-2.1482942028985508,103082810.0,6.493150684931506e-05,6.693647563546241e-07
2023,393.0,-2.8584005089058526,68084868.0,0.0006560439560439561,5.772207709942245e-06
2024,297.0,-0.8192622895622895,59778085.0,0.0005032786885245902,4.968375952491619e-06
2025,322.0,-1.579905900621118,56019406.0,0.000650287356321839,5.748008109903914e-06
2026,57.0,-5.721857894736842,5092243.0,0.0009457142857142856,1.1193495675677693e-05
