,InvaCost_ID,Cost_ID,Repository,Reference_ID,Reference_title,Authors,Abstract,Publication_year,Language,Type_of_material,Previous_materials,Availability,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Common_name,Environment,Environment_IAS,HabitatVerbatim,Habitat,urbanArea,protectedArea,Island,Geographic_region,Official_country,State|Province|Administrative_area,Location,Spatial_scale,Period_of_estimation,Time_range,Probable_starting_year,Probable_ending_year,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Occurrence,Raw_cost_estimate_original_currency,Min_Raw_cost_estimate_original_currency,Max_Raw_cost_estimate_original_currency,Raw_cost_estimate_2017_USD_exchange_rate,Raw_cost_estimate_2017_USD_PPP,Cost_estimate_per_year_original_currency,Cost_estimate_per_year_2017_USD_exchange_rate,Cost_estimate_per_year_2017_USD_PPP,Currency,Applicable_year,Type_of_applicable_year,Implementation,Acquisition_method,Impacted_sector,Type_of_cost,Type_of_cost_merged,Management_type,Method_reliability,Method_reliability_refined,Method_reliability_Explanation,Method_reliability_Expert_Name,Overlap,Benefit_value(s),Details,Initial contributors_names,Double-checking
0,IC_1.0_1,1,TC,2,Counting the Cost: Impact of Invasive Animals in Australia,McLeod,,2004,English,Official report,"Rolfe, J., & Windle, J. (2014). Public preferences for controlling an invasive species in public and private spaces. Land Use Policy, 41, 1–10. https://doi.org/10.1016/j.landusepol.2014.04.013",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2004,Year,2004,Unspecified,2004.0,2004.0,Potentially ongoing,17500000.0,,,16701772.1277868,16638296.4856979,17500000.0,16701772.1277868,16638296.4856979,AUD,2004,Publication year,Observed,Report/Estimation,Agriculture,Damage-Loss,Damage,,High,,,,,no,Key loss is lamb predation. ABARE (2003) estimate 35 million lambs marked per year. Assumed 2% of all lambs marked are taken by foxes at a cost of $25 per head. See Saunders et al. (1997) for background of lamb predation,Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
1,IC_1.0_2,2,TC,2,Counting the Cost: Impact of Invasive Animals in Australia,McLeod,,2004,English,Official report,"Rolfe, J., & Windle, J. (2014). Public preferences for controlling an invasive species in public and private spaces. Land Use Policy, 41, 1–10. https://doi.org/10.1016/j.landusepol.2014.04.013",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2004,Year,2004,Unspecified,2004.0,2004.0,Potentially ongoing,190000000.0,,,181333525.958828,180644361.84472,190000000.0,181333525.958828,180644361.84472,AUD,2004,Publication year,Observed,Report/Estimation,Environment,Damage-Loss,Damage,,High,,,,,no,"Following the methodology in Pimentel et al. (2000), the impact of fox predation on the bird population in Australia is valued. (each bird valued 1$)",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
2,IC_1.0_3,3,TC,2,Counting the Cost: Impact of Invasive Animals in Australia,McLeod,,2004,English,Official report,"Rolfe, J., & Windle, J. (2014). Public preferences for controlling an invasive species in public and private spaces. Land Use Policy, 41, 1–10. https://doi.org/10.1016/j.landusepol.2014.04.013",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Tasmania,Site,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,16000000.0,,,15270191.6596908,15212156.7869238,16000000.0,15270191.6596908,15212156.7869238,AUD,2004,Publication year,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,High,,,,,no,"Fox control expenditure in Tasmania of $9 million per year is also included (Tasmanian Dept. of Primary Industries, Water and Environment estimate). Original document not found
--> J'ai remi McLeod en auteur , mais sinon le vrai auteur serai le Tasman Departmen (mais pas trouvé) ?",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
3,IC_1.0_4,4,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,4000000.0,,,3301105.4376557,4342785.44945161,4000000.0,3301105.4376557,4342785.44945161,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Research,Management,Knowledge funding,Low,,,,,no,"4 000 000 research cost from Bomfort et al.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
4,IC_1.0_5,5,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,2000000.0,,,1650552.71882785,2171392.72472581,2000000.0,1650552.71882785,2171392.72472581,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,Low,,,,,no,"﻿Governments are estimated to spend around $2 million on fox control annually. 
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
5,IC_1.0_6,6,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,5000000.0,,,4126381.79706963,5428481.81181451,5000000.0,4126381.79706963,5428481.81181451,AUD,2000,Effective,Observed,Report/Estimation,Public and social welfare,Control,Management,Post-invasion_management,Low,,,,,no,"Landholders probably spend around $5 million annually on fox control. 
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
6,IC_1.0_7,7,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,,Red fox,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,40000000.0,,,33011054.376557,43427854.4945161,40000000.0,33011054.376557,43427854.4945161,AUD,2000,Effective,Observed,Extrapolation,Agriculture,Damage-Loss,Damage,,Low,,,,,no,"The figures presented for agricultural damage costs are based on extrapolations of government agency estimates, landholder surveys and other information referenced in the text.
If we assume that foxes take 5% of all viable lambs Australia wide; the annual cost of fox predation on lambs would be around $40 million.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
7,IC_1.0_8,8,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,Feral Cat,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,1000000.0,,,825276.359413926,1085696.3623629,1000000.0,825276.359413926,1085696.3623629,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Control,Management,Post-invasion_management,Low,,,,,no,"Governments are estimated to spend at least $1 million on feral cat control annually. Annual cat control research costs are also around $1 million per year.
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
8,IC_1.0_9,9,TC,2,Counting the Cost: Impact of Invasive Animals in Australia,McLeod,,2004,English,Official report,"Rolfe, J., & Windle, J. (2014). Public preferences for controlling an invasive species in public and private spaces. Land Use Policy, 41, 1–10. https://doi.org/10.1016/j.landusepol.2014.04.013",Yes,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,Feral Cat,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2004,Year,2004,Unspecified,2004.0,2004.0,Potentially ongoing,144000000.0,,,137431724.937217,136909411.082314,144000000.0,137431724.937217,136909411.082314,AUD,2004,Publication year,Potential,Report/Estimation,Public and social welfare,Personal loss,Damage,,High,,,,,no,"Assumes 18 million cats, kill eight birds per year valued at $1 per bird (derived from Pimentel et al. 2000). Surveys outlined in the overview indicated a willingness to pay for biodiversity conservation and, correspondingly, a value of $1 per bird killed is included in the cost impact. Corresponding with the Pimentel et al. (2000) analysis, it is estimated that each cat kills eight birds per year (Willingness to pay)",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
9,IC_1.0_10,10,TC,562,"The Economic Impact of Pasture Weeds, Pests and Diseases on the Australian Wool Industry",Sloane et al,,1988,English,Official report,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf
+ In McLeod 2016 Cost of Pest Animals in NSW and Australia, 2013-14.",No,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,1988,Year,1988,Unspecified,1988.0,1988.0,Potentially ongoing,130000000.0,,,210528424.934113,207164087.384667,130000000.0,210528424.934113,207164087.384667,AUD,1988,Publication year,Observed,Report/Estimation,Agriculture,Damage-Loss,Damage,,Low,,,,,no,"Prior to the release of RHDV, rabbit-related production losses in the Australian wool industry were estimated to be $130 million per annum (Sloane et al. 1988). ",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
