Date,Series,Value
2017-01-01,Average Tone,-1.8331
2017-01-02,Average Tone,0
2017-01-03,Average Tone,0.2915
2017-01-04,Average Tone,-1.1704
2017-01-05,Average Tone,-1.384
2017-01-06,Average Tone,-2.9887
2017-01-07,Average Tone,0
2017-01-08,Average Tone,-3.1132
2017-01-09,Average Tone,-3.2985
2017-01-10,Average Tone,-2.918
2017-01-11,Average Tone,-0.5605
2017-01-12,Average Tone,-2.4894
2017-01-13,Average Tone,0
2017-01-14,Average Tone,0
2017-01-15,Average Tone,0
2017-01-16,Average Tone,0
2017-01-17,Average Tone,0
2017-01-18,Average Tone,-0.8092
2017-01-19,Average Tone,0
2017-01-20,Average Tone,0
2017-01-21,Average Tone,-1.4579
2017-01-22,Average Tone,0
2017-01-23,Average Tone,-3.0511
2017-01-24,Average Tone,-3.7479
2017-01-25,Average Tone,-6.132
2017-01-26,Average Tone,0
2017-01-27,Average Tone,1.5254
2017-01-28,Average Tone,0
2017-01-29,Average Tone,0
2017-01-30,Average Tone,0
2017-01-31,Average Tone,-2.8078
2017-02-01,Average Tone,-3.4674
2017-02-02,Average Tone,-2.5915
2017-02-03,Average Tone,-1.8156
2017-02-04,Average Tone,-0.5605
2017-02-05,Average Tone,-1.2346
2017-02-06,Average Tone,-1.6234
2017-02-07,Average Tone,-1.6651
2017-02-08,Average Tone,-3.2714
2017-02-09,Average Tone,1.601
2017-02-10,Average Tone,0
2017-02-11,Average Tone,0
2017-02-12,Average Tone,-3.8435
2017-02-13,Average Tone,-3.6224
2017-02-14,Average Tone,-2.3374
2017-02-15,Average Tone,0
2017-02-16,Average Tone,0
2017-02-17,Average Tone,-1.0927
2017-02-18,Average Tone,-3.6266
2017-02-19,Average Tone,-3.0972
2017-02-20,Average Tone,-3.5961
2017-02-21,Average Tone,-3.0852
2017-02-22,Average Tone,-4.1589
2017-02-23,Average Tone,-3.7228
2017-02-24,Average Tone,-0.7533
2017-02-25,Average Tone,-0.3386
2017-02-26,Average Tone,-2.2101
2017-02-27,Average Tone,-0.7342
2017-02-28,Average Tone,0
2017-03-01,Average Tone,-5.3345
2017-03-02,Average Tone,-0.277
2017-03-03,Average Tone,-2.7063
2017-03-04,Average Tone,-2.8785
2017-03-05,Average Tone,0
2017-03-06,Average Tone,-3.7906
2017-03-07,Average Tone,-3.8986
2017-03-08,Average Tone,-1.4202
2017-03-09,Average Tone,-0.6432
2017-03-10,Average Tone,-0.8865
2017-03-11,Average Tone,0
2017-03-12,Average Tone,0.2688
2017-03-13,Average Tone,0
2017-03-14,Average Tone,-3.5185
2017-03-15,Average Tone,0
2017-03-16,Average Tone,-1.1868
2017-03-17,Average Tone,1.0106
2017-03-18,Average Tone,1.1583
2017-03-19,Average Tone,-3.3898
2017-03-20,Average Tone,-2.0478
2017-03-21,Average Tone,-0.4963
2017-03-22,Average Tone,0.7407
2017-03-23,Average Tone,0.0503
2017-03-24,Average Tone,-1.6124
2017-03-25,Average Tone,-4.0902
2017-03-26,Average Tone,-3.426
2017-03-27,Average Tone,0.7766
2017-03-28,Average Tone,0
2017-03-29,Average Tone,0
2017-03-30,Average Tone,-1.1173
2017-03-31,Average Tone,-0.1881
2017-04-01,Average Tone,0
2017-04-02,Average Tone,0
2017-04-03,Average Tone,0
2017-04-04,Average Tone,0
2017-04-05,Average Tone,-0.0571
2017-04-06,Average Tone,-0.4032
2017-04-07,Average Tone,-1.2915
2017-04-08,Average Tone,-5.7724
2017-04-09,Average Tone,0
2017-04-10,Average Tone,0
2017-04-11,Average Tone,-0.4032
2017-04-12,Average Tone,-3.7176
2017-04-13,Average Tone,-1.1627
2017-04-14,Average Tone,1.2712
2017-04-15,Average Tone,-1.026
2017-04-16,Average Tone,-0.9901
2017-04-17,Average Tone,0.2847
2017-04-18,Average Tone,-2.656
2017-04-19,Average Tone,-2.656
2017-04-20,Average Tone,-0.1658
2017-04-21,Average Tone,0
2017-04-22,Average Tone,0
2017-04-23,Average Tone,0
2017-04-24,Average Tone,1.4519
2017-04-25,Average Tone,0.3185
2017-04-26,Average Tone,0.3173
2017-04-27,Average Tone,0.2506
2017-04-28,Average Tone,-1.4224
2017-04-29,Average Tone,-1.4167
2017-04-30,Average Tone,0.089
2017-05-01,Average Tone,-1.1197
2017-05-02,Average Tone,-1.5764
2017-05-03,Average Tone,-2.9819
2017-05-04,Average Tone,-1.8939
2017-05-05,Average Tone,-1.3846
2017-05-06,Average Tone,0
2017-05-07,Average Tone,-2.7491
2017-05-08,Average Tone,2.1277
2017-05-09,Average Tone,0
2017-05-10,Average Tone,0.7874
2017-05-11,Average Tone,-0.1849
2017-05-12,Average Tone,1.766
2017-05-13,Average Tone,1.766
2017-05-14,Average Tone,-6
2017-05-15,Average Tone,0
2017-05-16,Average Tone,-1.0597
2017-05-17,Average Tone,-2.6515
2017-05-18,Average Tone,1.1148
2017-05-19,Average Tone,0
2017-05-20,Average Tone,0
2017-05-21,Average Tone,0
2017-05-22,Average Tone,0
2017-05-23,Average Tone,0.4412
2017-05-24,Average Tone,0
2017-05-25,Average Tone,-1.5382
2017-05-26,Average Tone,-0.9067
2017-05-27,Average Tone,0
2017-05-28,Average Tone,-2.6144
2017-05-29,Average Tone,-0.0202
2017-05-30,Average Tone,0
2017-05-31,Average Tone,-4.3478
2017-06-01,Average Tone,0
2017-06-02,Average Tone,-4.4805
2017-06-03,Average Tone,-2.2712
2017-06-04,Average Tone,0
2017-06-05,Average Tone,-0.2792
2017-06-06,Average Tone,0
2017-06-07,Average Tone,-4.2501
2017-06-08,Average Tone,5.5707
2017-06-09,Average Tone,0.7675
2017-06-10,Average Tone,-1.4423
2017-06-11,Average Tone,0
2017-06-12,Average Tone,-0.029
2017-06-13,Average Tone,-3.0782
2017-06-14,Average Tone,-1.8085
2017-06-15,Average Tone,0.0624
2017-06-16,Average Tone,-3.7958
2017-06-17,Average Tone,0
2017-06-18,Average Tone,0
2017-06-19,Average Tone,0.7513
2017-06-20,Average Tone,1.0575
2017-06-21,Average Tone,-3.9697
2017-06-22,Average Tone,-4.2553
2017-06-23,Average Tone,-4.977
2017-06-24,Average Tone,-4.5257
2017-06-25,Average Tone,-4.1892
2017-06-26,Average Tone,0
2017-06-27,Average Tone,1.0331
2017-06-28,Average Tone,-1.1935
2017-06-29,Average Tone,-2.1495
2017-06-30,Average Tone,-0.6649
2017-07-01,Average Tone,0
2017-07-02,Average Tone,-2.266
2017-07-03,Average Tone,0
2017-07-04,Average Tone,-3.52
2017-07-05,Average Tone,-3.6397
2017-07-06,Average Tone,-3.6405
2017-07-07,Average Tone,-4.0916
2017-07-08,Average Tone,0
2017-07-09,Average Tone,-3.0375
2017-07-10,Average Tone,2.5641
2017-07-11,Average Tone,0
2017-07-12,Average Tone,-6.3825
2017-07-13,Average Tone,-2.1465
2017-07-14,Average Tone,-6.7358
2017-07-15,Average Tone,1.6946
2017-07-16,Average Tone,0
2017-07-17,Average Tone,0
2017-07-18,Average Tone,0
2017-07-19,Average Tone,-2.0513
2017-07-20,Average Tone,-0.3811
2017-07-21,Average Tone,4.6296
2017-07-22,Average Tone,0
2017-07-23,Average Tone,-1.4598
2017-07-24,Average Tone,-1.1256
2017-07-25,Average Tone,4.6296
2017-07-26,Average Tone,0
2017-07-27,Average Tone,0
2017-07-28,Average Tone,-0.913
2017-07-29,Average Tone,0
2017-07-30,Average Tone,-1.0949
2017-07-31,Average Tone,-3.8309
2017-08-01,Average Tone,-1.1969
2017-08-02,Average Tone,-3.3223
2017-08-03,Average Tone,0.9095
2017-08-04,Average Tone,-2.9851
2017-08-05,Average Tone,0
2017-08-06,Average Tone,0
2017-08-07,Average Tone,-1.5362
2017-08-08,Average Tone,0.6402
2017-08-09,Average Tone,-1.9964
2017-08-10,Average Tone,-0.4914
2017-08-11,Average Tone,-3.3951
2017-08-12,Average Tone,0
2017-08-13,Average Tone,0
2017-08-14,Average Tone,0
2017-08-15,Average Tone,-2.5773
2017-08-16,Average Tone,-1.6907
2017-08-17,Average Tone,-0.6336
2017-08-18,Average Tone,-1.1399
2017-08-19,Average Tone,0
2017-08-20,Average Tone,0
2017-08-21,Average Tone,-4.7022
2017-08-22,Average Tone,-1.8277
2017-08-23,Average Tone,-4.2553
2017-08-24,Average Tone,1.8957
2017-08-25,Average Tone,-1.4245
2017-08-26,Average Tone,0
2017-08-27,Average Tone,0
2017-08-28,Average Tone,0
2017-08-29,Average Tone,-2.2099
2017-08-30,Average Tone,-2.1352
2017-08-31,Average Tone,0
2017-09-01,Average Tone,0
2017-09-02,Average Tone,0
2017-09-03,Average Tone,0
2017-09-04,Average Tone,0
2017-09-05,Average Tone,0
2017-09-06,Average Tone,0
2017-09-07,Average Tone,-0.6974
2017-09-08,Average Tone,-1.8568
2017-09-09,Average Tone,0
2017-09-10,Average Tone,-1.7378
2017-09-11,Average Tone,0.7435
2017-09-12,Average Tone,0
2017-09-13,Average Tone,-0.8004
2017-09-14,Average Tone,0
2017-09-15,Average Tone,0
2017-09-16,Average Tone,0
2017-09-17,Average Tone,0
2017-09-18,Average Tone,-0.4723
2017-09-19,Average Tone,-5.163
2017-09-20,Average Tone,1.9995
2017-09-21,Average Tone,0
2017-09-22,Average Tone,-0.5333
2017-09-23,Average Tone,0
2017-09-24,Average Tone,0
2017-09-25,Average Tone,0
2017-09-26,Average Tone,-7.732
2017-09-27,Average Tone,0
2017-09-28,Average Tone,-1.6013
2017-09-29,Average Tone,-0.0954
2017-09-30,Average Tone,0.3185
2017-10-01,Average Tone,0
2017-10-02,Average Tone,0
2017-10-03,Average Tone,0
2017-10-04,Average Tone,-3.3127
2017-10-05,Average Tone,-3.4979
2017-10-06,Average Tone,-0.7063
2017-10-07,Average Tone,0
2017-10-08,Average Tone,-1.0816
