year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased
1990,New South Wales,4073,206,8649,18393,17123,976
1990,Northern Territory,0,0,2,15,4,15
1990,Queensland,3856,157,8095,17240,17443,1023
1990,South Australia,2803,145,5276,11211,10952,941
1990,Tasmania,641,34,1141,2813,2589,86
1990,Victoria,1166,67,2364,5534,5331,767
1990,Western Australia,3392,209,8244,18446,17454,1107
1991,New South Wales,3123,179,7665,16782,15116,769
1991,Northern Territory,0,0,1,4,3,0
1991,Queensland,3908,188,7840,20632,18821,1450
1991,South Australia,2383,133,5320,12086,10992,548
1991,Tasmania,529,29,1062,2818,2435,137
1991,Victoria,1002,54,2276,5548,4789,636
1991,Western Australia,3085,188,7470,18832,16816,985
1992,New South Wales,2304,180,7350,15009,13759,914
1992,Northern Territory,0,0,2,5,5,0
1992,Queensland,1763,142,8254,17473,16633,1091
1992,South Australia,2212,111,4775,10395,9644,1043
1992,Tasmania,402,29,1146,2652,2346,63
1992,Victoria,925,64,2222,5089,4609,640
1992,Western Australia,2468,170,7226,15509,15487,1575
1993,New South Wales,2701,170,6865,14453,12908,1042
1993,Northern Territory,0,0,2,5,5,0
1993,Queensland,2058,179,7142,16291,15241,734
1993,South Australia,2447,107,4378,10194,9644,835
1993,Tasmania,512,28,1173,2545,2367,103
1993,Victoria,1156,60,2528,5833,5312,723
1993,Western Australia,3457,236,7710,18454,17051,929
1994,New South Wales,3424,158,6831,13941,13159,905
1994,Northern Territory,0,0,0,8,0,0
1994,Queensland,1743,141,6052,14282,12988,715
1994,South Australia,2319,121,5238,11434,10529,1010
1994,Tasmania,576,30,1151,2453,2454,131
1994,Victoria,1053,56,2308,5071,4684,647
1994,Western Australia,3309,244,8532,18311,16873,933
1995,New South Wales,2521,162,6608,13471,12034,513
1995,Northern Territory,0,0,0,0,0,0
1995,Queensland,2413,168,6431,13645,13628,1225
1995,South Australia,2437,118,4653,10647,9731,672
1995,Tasmania,448,28,1053,2484,2111,321
1995,Victoria,1041,64,2217,5048,4455,628
1995,Western Australia,2805,250,8345,17177,15971,1545
1996,New South Wales,3133,157,6582,13514,12485,814
1996,Northern Territory,0,0,0,0,0,0
1996,Queensland,2396,169,6265,14146,13021,539
1996,South Australia,1797,108,4860,10021,9351,576
1996,Tasmania,533,39,1032,2420,2278,182
1996,Victoria,880,94,2101,4376,4380,632
1996,Western Australia,2911,211,7815,19209,15864,1298
1997,New South Wales,3089,131,6173,12019,11685,849
1997,Northern Territory,0,0,0,0,0,0
1997,Queensland,2863,179,6593,13069,13442,1154
1997,South Australia,2780,150,5167,10418,10168,494
1997,Tasmania,782,45,1338,3002,2996,135
1997,Victoria,1036,79,2314,5544,4687,1020
1997,Western Australia,3722,296,10235,20503,17828,990
1998,New South Wales,2485,132,5811,11117,10484,1065
1998,Northern Territory,0,0,0,0,0,0
1998,Queensland,2772,162,6495,13839,13588,747
1998,South Australia,2265,115,5210,10547,9712,594
1998,Tasmania,492,21,1048,2568,2301,161
1998,Victoria,1127,61,2491,6208,5100,1865
1998,Western Australia,3045,190,7013,15392,13273,817
1999,New South Wales,2596,182,6636,12383,11541,862
1999,Northern Territory,0,0,0,0,0,0
1999,Queensland,2689,183,6423,14226,12986,648
1999,South Australia,2070,114,4776,9306,9017,409
1999,Tasmania,574,25,1141,2754,2497,129
1999,Victoria,1197,76,2670,5753,5367,731
1999,Western Australia,2593,179,6841,13967,13356,800
2000,New South Wales,3237,145,6879,12509,12467,788
2000,Northern Territory,0,0,0,0,0,0
2000,Queensland,1551,74,4851,10513,10093,1061
2000,South Australia,2352,123,4472,8703,8486,698
2000,Tasmania,491,22,982,2520,2262,203
2000,Victoria,1217,58,2408,5037,4694,765
2000,Western Australia,3335,202,7018,13896,12409,865
2001,New South Wales,3127,136,6833,13372,11933,776
2001,Northern Territory,0,0,0,0,0,0
2001,Queensland,2625,140,6505,15704,13912,1119
2001,South Australia,2512,112,4548,7883,8270,600
2001,Tasmania,359,23,907,2098,1964,110
2001,Victoria,1567,66,2637,5217,5094,711
2001,Western Australia,2479,203,7577,15747,12836,588
2002,New South Wales,2624,131,5996,11360,10544,770
2002,Northern Territory,0,0,0,0,0,0
2002,Queensland,1421,103,5020,11123,9707,584
2002,South Australia,2148,137,5372,8857,8938,692
2002,Tasmania,548,28,1033,2431,2431,139
2002,Victoria,1602,86,2691,5518,5072,687
2002,Western Australia,2315,177,6419,12594,11169,428
2003,New South Wales,,,,10498,8903,764
2003,Northern Territory,,,,0,0,0
2003,Queensland,,,,12477,10214,313
2003,South Australia,,,,8674,8227,535
2003,Tasmania,,,,2333,2002,66
2003,Victoria,,,,4527,4207,463
2003,Western Australia,,,,9055,9943,955
2004,New South Wales,,,,9242,9596,609
2004,Northern Territory,,,,0,0,0
2004,Queensland,,,,12745,11871,551
2004,South Australia,,,,8976,8462,479
2004,Tasmania,,,,2112,1879,66
2004,Victoria,,,,4232,4158,579
2004,Western Australia,,,,11210,10948,889
2005,New South Wales,2403,114,6102,10916,10041,717
2005,Northern Territory,0,0,0,0,24,0
2005,Queensland,1470,73,4197,8015,7399,548
2005,South Australia,1975,168,4879,9072,8351,445
2005,Tasmania,552,34,1239,2578,2333,58
2005,Victoria,1446,78,2727,5140,4977,547
2005,Western Australia,2756,196,7374,12084,11968,594
2006,New South Wales,2304,102,5753,9766,9473,1232
2006,Northern Territory,0,0,0,0,0,0
2006,Queensland,1350,86,3642,7238,6764,231
2006,South Australia,1931,129,4999,8533,8102,588
2006,Tasmania,478,23,1164,2396,2156,121
2006,Victoria,1449,48,2603,4762,4691,583
2006,Western Australia,3321,168,5627,10758,10244,1492
2007,New South Wales,2476,110,5701,10074,9484,932
2007,Northern Territory,0,0,0,0,0,0
2007,Queensland,1130,81,2739,6087,4940,231
2007,South Australia,2593,132,5488,9259,8709,609
2007,Tasmania,542,24,1041,2832,1980,83
2007,Victoria,1237,62,2386,4557,4142,677
2007,Western Australia,2251,191,6631,12949,10509,596
2008,New South Wales,2459,115,5467,9457,9142,543
2008,Northern Territory,0,0,0,0,0,0
2008,Queensland,1060,96,2901,4981,5210,261
2008,South Australia,2343,108,5073,8631,8158,418
2008,Tasmania,414,27,950,1983,1665,99
2008,Victoria,1269,55,2443,4442,4237,458
2008,Western Australia,1934,139,5067,7922,7965,526
2009,New South Wales,2100,105,5007,8402,8118,532
2009,Northern Territory,0,0,0,0,0,0
2009,Queensland,1020,82,2640,5046,5197,112
2009,South Australia,2376,105,4552,8270,7459,469
2009,Tasmania,368,23,900,1749,1485,71
2009,Victoria,1077,43,2160,3850,3661,383
2009,Western Australia,1568,178,5418,9275,7744,545
2010,New South Wales,2167,112,5507,8409,8575,655
2010,Northern Territory,0,0,0,0,0,0
2010,Queensland,930,99,2299,4288,4528,83
2010,South Australia,2028,121,4728,7546,7336,429
2010,Tasmania,448,21,883,1749,1683,40
2010,Victoria,1094,46,1952,3264,3357,401
2010,Western Australia,1627,112,3803,6260,6147,334
2011,New South Wales,2890,119,5885,8751,9591,457
2011,Northern Territory,0,0,0,0,0,0
2011,Queensland,1204,75,2269,3829,4558,77
2011,South Australia,2707,124,5519,8965,8859,521
2011,Tasmania,517,23,1016,1973,1860,70
2011,Victoria,1444,42,2474,3993,4293,419
2011,Western Australia,1560,93,3425,5775,5458,191
2012,New South Wales,2986,115,6037,8810,9976,409
2012,Northern Territory,0,0,0,0,0,0
2012,Queensland,800,44,1851,3731,4102,33
2012,South Australia,2202,106,5269,8522,8128,489
2012,Tasmania,587,25,1107,2013,2072,58
2012,Victoria,1345,42,2273,3898,4154,365
2012,Western Australia,1541,103,3460,6000,5703,214
2013,New South Wales,2918,122,5576,8843,9639,324
2013,Northern Territory,0,0,0,0,0,0
2013,Queensland,752,31,1583,3196,3281,250
2013,South Australia,2461,123,4677,7997,7883,266
2013,Tasmania,595,23,1075,2132,2006,48
2013,Victoria,1392,52,2533,4220,4423,290
2013,Western Australia,1708,100,3682,6146,6059,230
2014,New South Wales,2690,129,6226,10419,9722,521
2014,Northern Territory,0,0,0,0,0,0
2014,Queensland,420,33,1443,2668,2801,144
2014,South Australia,2434,127,4778,8101,7890,351
2014,Tasmania,573,24,1128,2140,2067,47
2014,Victoria,1296,51,2259,3928,3948,384
2014,Western Australia,1766,124,4148,6686,6575,391
2015,New South Wales,3195,144,6349,10453,10377,481
2015,Northern Territory,0,0,0,0,0,0
2015,Queensland,508,26,1275,1952,2482,208
2015,South Australia,3177,152,5774,10526,9726,339
2015,Tasmania,562,23,1202,2244,2048,64
2015,Victoria,1292,53,2343,4026,3955,322
2015,Western Australia,1747,123,3785,6597,6261,189
2016,New South Wales,3203,147,7030,11365,11109,752
2016,Northern Territory,0,0,0,0,0,0
2016,Queensland,339,24,1275,1830,2175,66
2016,South Australia,3057,112,4898,8560,8589,440
2016,Tasmania,545,22,1203,2290,2000,40
2016,Victoria,1410,61,2684,4736,4504,428
2016,Western Australia,2707,132,4919,6730,8231,318
2017,New South Wales,3122,135,6701,10810,10560,571
2017,Northern Territory,0,0,0,0,0,0
2017,Queensland,783,25,1354,2217,2640,171
2017,South Australia,3252,138,5920,10783,10108,325
2017,Tasmania,416,20,978,1660,1634,65
2017,Victoria,1482,51,2607,4303,4448,546
2017,Western Australia,1909,105,3746,6454,6085,187
2018,New South Wales,2550,123,5839,9852,9039,586
2018,Northern Territory,0,0,0,0,0,0
2018,Queensland,488,29,1336,2321,2399,153
2018,South Australia,2783,137,5998,10887,9529,404
2018,Tasmania,517,24,1191,1994,1976,75
2018,Victoria,1499,55,2489,4391,4319,535
2018,Western Australia,1975,93,3374,6436,6006,311
2019,New South Wales,2080,179,5749,8674,8486,529
2019,Northern Territory,0,0,0,0,0,0
2019,Queensland,435,41,1503,1902,2386,186
2019,South Australia,2068,117,5083,9248,8150,369
2019,Tasmania,654,23,1138,2163,2031,163
2019,Victoria,1356,70,2449,4569,4248,428
2019,Western Australia,1884,96,3629,6706,6151,185
2020,New South Wales,2226,118,5492,7292,8211,483
2020,Northern Territory,0,0,0,0,0,0
2020,Queensland,633,50,1697,3110,2807,149
2020,South Australia,1745,116,4966,8553,7871,290
2020,Tasmania,472,24,1003,1875,1647,114
2020,Victoria,1474,76,2674,4789,4532,497
2020,Western Australia,1938,107,3370,6979,5853,123
2021,New South Wales,3113,123,5658,8210,9399,606
2021,Northern Territory,0,0,0,0,0,0
2021,Queensland,719,53,1576,2141,2638,84
2021,South Australia,2534,118,4829,8243,7858,470
2021,Tasmania,466,22,1067,1807,1740,112
2021,Victoria,1579,57,2311,4443,4267,448
2021,Western Australia,1915,104,3573,7145,5984,193
2022,New South Wales,3429,136,6397,9018,10667,675
2022,Northern Territory,0,0,0,0,0,0
2022,Queensland,1056,59,2039,3267,3706,153
2022,South Australia,3003,123,5280,9578,8842,452
2022,Tasmania,567,20,1029,1804,1795,55
2022,Victoria,1608,50,2272,4236,4239,548
2022,Western Australia,1905,82,3224,6344,5482,390
2023,New South Wales,3654,148,6537,,11103,395
2023,Northern Territory,0,0,0,,0,0
2023,Queensland,1122,77,2297,,4311,198
2023,South Australia,2949,141,5969,,9762,442
2023,Tasmania,534,23,1061,,1813,36
2023,Victoria,1504,51,2320,,4188,432
2023,Western Australia,2035,87,3432,,5835,182
2024,New South Wales,4074,163,7334,,12338,621
2024,Northern Territory,0,0,0,,0,0
2024,Queensland,1226,83,2753,,4958,200
2024,South Australia,3775,176,6158,,10779,333
2024,Tasmania,522,30,1043,,1871,40
2024,Victoria,1534,57,2448,,4351,351
2024,Western Australia,2202,101,4111,,6963,162
2025,New South Wales,,,,,12811,
2025,Northern Territory,,,,,0,
2025,Queensland,,,,,5317,
2025,South Australia,,,,,10441,
2025,Tasmania,,,,,1934,
2025,Victoria,,,,,4328,
2025,Western Australia,,,,,6680,
2026,New South Wales,,,,,13590,
2026,Northern Territory,,,,,0,
2026,Queensland,,,,,5908,
2026,South Australia,,,,,10755,
2026,Tasmania,,,,,1999,
2026,Victoria,,,,,4453,
2026,Western Australia,,,,,7058,
